بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,العطور,,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,العطور,,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روز بريك من توم فرود اودي بارفيوم30مل,العطور,,عطر روز بريك من توم فرود اودي بارفيوم30مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر روز بريك من توم فرود اودي بارفيوم30مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,العطور,,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,سيفورا ماسكارا سايز اب 14 مل,العطور,,سيفورا ماسكارا سايز اب 14 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,سيفورا ماسكارا سايز اب 14 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل,العطور,,صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,شامبو بخلاصة حمام الزيت مقوي للشعر بزيوت الخروع واللوز المعالجه من غارنييه الترا دوكس - 600 مل,العطور,,شامبو بخلاصة حمام الزيت مقوي للشعر بزيوت الخروع واللوز المعالجه من غارنييه الترا دوكس - 600 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,شامبو بخلاصة حمام الزيت مقوي للشعر بزيوت الخروع واللوز المعالجه من غارنييه الترا دوكس - 600 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,دوسفارم حلوى منعشة مع فيتامين C و D بنكهة النعناع خالية من السكر - 22 جم,العطور,,دوسفارم حلوى منعشة مع فيتامين C و D بنكهة النعناع خالية من السكر - 22 جم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,دوسفارم حلوى منعشة مع فيتامين C و D بنكهة النعناع خالية من السكر - 22 جم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,اضاءة جسم سائلة Moonbeam - كارا بيوتي 01,العطور,,اضاءة جسم سائلة Moonbeam - كارا بيوتي 01,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,اضاءة جسم سائلة Moonbeam - كارا بيوتي 01 |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,فازلين كاكاو شيمر جيلي ستيك بزبدة الكاكاو - 1.4 أونصة,العطور,,فازلين كاكاو شيمر جيلي ستيك بزبدة الكاكاو - 1.4 أونصة,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,فازلين كاكاو شيمر جيلي ستيك بزبدة الكاكاو - 1.4 أونصة |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
