اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عينة عطر ايبيك من امواج او دو برفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/48bc0b15-fc12-4ba8-8b31-b9b283e8f5cb-500x500-kJLGmHGRnJVZ7WMyknJ4jZejoW2juBnzCWll69uk.png",17,متجر ساراء ميكاب.csv,عطر ارماند باسي إن مي أو دو برفيوم 80 مل,39.2,REVERSE-LOOKUP-FOUND,,duplicate,,
عينة عطر هوبيجانت عود اور او دي بارفيوم اكستريم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ec313dea-0cb4-4912-9a4b-46749035290b-500x500-jVsREHEsJwM0U5YMAGLkQ4QLz7QI8s7sZlqGf0g9.png",10,متجر ساراء ميكاب.csv,عطر بايريدو سيلير اكسترايت او دو بارفيوم 50مل للجنسين,41.5,REVERSE-LOOKUP-FOUND,هوبيجان,duplicate,,
عينة عطر هوبيجانت باتشولي سوفاج او دي بارفيوم اكستريم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/76ef9422-c2f7-46d8-8237-c99b29277845-500x500-L60JJsWpoFZgB6J9E7bIoIE3jOe1PlRoyOUh3zwd.png",10,متجر ساراء ميكاب.csv,عطر بوتشيرون باتشولي دو أنجكور أو دو بارفيوم 125مل,41.2,REVERSE-LOOKUP-FOUND,هوبيجان,duplicate,,
عينة عطر هوبيجان عنبر ديس ابيسيز او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e17d567a-4f2b-4375-a6fe-5d942bc7b9f1-500x500-3dTDq4A4R5xONdcwbspTGwHm6vfc1vvRn1lNTRji.png",10,متجر ساراء ميكاب.csv,عطر بايريدو سيلير اكسترايت او دو بارفيوم 50مل للجنسين,42.2,REVERSE-LOOKUP-FOUND,هوبيجان,duplicate,,
عينة عطر هوبيجان عنبر روبيس او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0d8d91da-98a2-420b-b66b-ed7faa69cf83-500x500-zoBIq1e3t0oB45mjxRcebJNLBwzdPqIp1QAlsVyP.png",10,متجر ساراء ميكاب.csv,عطر بوشرون سنتال دو كاندي أو دو بارفيوم 125مل,40.6,REVERSE-LOOKUP-FOUND,هوبيجان,duplicate,,
عينة عطر فانيلا امبريال من هوبيجان او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9056dc98-7727-4664-8e23-ea6edf8bbe1a-500x500-SDTPBUAiL9FzcLli9FETT4cTWn0jWHe8SU71ZAT9.png",10,متجر ساراء ميكاب.csv,عطر بوشرون فانيلا دو زانزيبار أو دو بارفيوم 125مل,41.4,REVERSE-LOOKUP-FOUND,هوبيجان,duplicate,,
عينة عطر عود بوكيه من لانكوم او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dae78ec2-c190-4e18-a7f1-1e2a94c7b16e-500x500-Yl4SdcGLoFkg6zDztMnoImVTYZD6a1ZY3G4iF8Ow.png",14,متجر ساراء ميكاب.csv,عطر بوشرون فيف تونكا دي كانيما او دو بارفيوم 125مل للجنسين,41.2,REVERSE-LOOKUP-FOUND,لانكوم,duplicate,,
عطر ديور أديكت بيتشي جلو او دي برفيوم 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dc73eae9-c43f-496b-9daf-d8b70fe1235b-500x500-5z2bxM91il0kjD6dlvMI4wNGswAxTXwaJkPRnOO2.png",563,متجر ساراء ميكاب.csv,عطر جورجيو أرماني أكوا دي جيو إلكسير برفيوم 50مل,49.2,REVERSE-LOOKUP-FOUND,ديور,duplicate,,
عطر ديور أديكت روزي جلو او دي برفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e411a082-7854-4fe4-a7c2-7ff531348683-500x500-ZQJGd3wMfNgTm02lpP2L5t1NObpGrY5k5CNwmT7x.png",563,متجر ساراء ميكاب.csv,عطر بورن تو ستاند آوت أن هولي عود أو دو برفيوم 50مل,53.1,REVERSE-LOOKUP-FOUND,ديور,duplicate,,
عطر دنهل لندن من دنهل للرجال -او دي تواليت 100,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1d5442e7-32bf-4966-8002-078662bda731-500x500-Bdi3uTDWusB57v1587ZCcWqNiCAzUwmr16ROjBh5.png",201,متجر ساراء ميكاب.csv,عطر دنهل لندن ألفريد أو دو تواليت 100مل للرجال,54.3,REVERSE-LOOKUP-FOUND,,duplicate,,
ماسك ميلانو عطر شاي العود الروسي 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/47342aec-4ef6-483d-884c-c2d5ec4a6600-500x500-dHFFlfbqilHtfgxPd0YVTibPTYJGqszlLhqe1y0n.png",1067,متجر ساراء ميكاب.csv,عطر جيارديني دي توسكانا شابي شيك أودو برفان 100 مل,42.3,REVERSE-LOOKUP-FOUND,ماسك ميلانو,duplicate,,
عينة عطر نمبر 2 ستروس وود سويد ليذر من روسيندو ماتيو او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/480dd7fe-fe5b-4800-85a9-333ff3cf0c9a-500x500-Nsyz1ET72IuDIDltZs5nVY5TcogBZTcpZGmR2ggq.png",8,متجر ساراء ميكاب.csv,عطر كارتير عود وصندل من ليزور فواياجوز او دو بارفيوم 75مل,36.1,REVERSE-LOOKUP-FOUND,روسيندو ماتيو,duplicate,,
عطر أمادو شيشة 2 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/48d08644-3f3d-4990-b993-aa72fc5c18ee-500x500-vdfvCZb8zbLjPyLZKQVtlEeEZwX7PymLbDIgSxDq.png",667,متجر ساراء ميكاب.csv,عطر كلوي لوف ستوري أو دو تواليت 75 مل,34.0,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر ماسك ميلانو عطر تانجو عود 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f07418e2-0559-49e1-abfd-becffe67f6a9-500x500-FIGfwcWB5B24QblR1z0MRCfpRxALSiJUq9VGnIG9.png",954,متجر ساراء ميكاب.csv,عطر زودياك رواقان او دي بارفيوم 100 مل,41.5,REVERSE-LOOKUP-FOUND,ماسك ميلانو,duplicate,,
ميلانو ماسك الحب قتل العود 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e56f26ce-d103-4f3f-bd21-9e73d86abec0-500x500-4Ryl298tzBpKDBo0woIph5XqyPMzQ882PTtz5ZX6.png",954,متجر ساراء ميكاب.csv,تستر نيكولاي عنبر عود او دو بارفيوم 100مل,39.1,REVERSE-LOOKUP-FOUND,لانكوم,duplicate,,
عطر اكيغالا ماندارينو اكستريت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a553c689-fb7d-4960-b299-a34cf401fcb3-500x500-jbiCPizobjOu5rGqZ9uvUJr6Q41iuEITnR5PiCoi.png",690,متجر ساراء ميكاب.csv,عطر لورينزو بازاجليا شوقر كيسز اكسترايت دو بارفيوم 50مل,50.9,REVERSE-LOOKUP-FOUND,ماندرينا داك,duplicate,,
عطر مسك كومبلكسيتي اكستريت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7aa1c27a-9d64-4596-aa1e-daa1af0243cf-500x500-gcKNsGpczRrsymyTWhKoJBJwzA5qwaYr13b15nFc.png",690,متجر ساراء ميكاب.csv,عطر دي غابور ستاردست ماسك إكستريت دو بارفيوم 50 مل,54.7,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر لاتي ميموزا اكستريت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/741217f9-1935-43bb-8c13-70fad32815cc-500x500-CUWM5QGaz1zM6sIoDTSiX4OZc21gyOjBFqU8fIJw.png",690,متجر ساراء ميكاب.csv,عطر دي غابور ستاردست ماسك إكستريت دو بارفيوم 50 مل,54.9,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر افانسي برغموت راسينز 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a2d41299-5ddc-4b86-bb4c-5aac5bc7735e-500x500-0V3t7rihgS2fsRpPZ3GJiYVF5F5WwrVfSCatZW3Q.png",662,متجر ساراء ميكاب.csv,عطر لافيرن فوربدن 100 مل,44.3,REVERSE-LOOKUP-FOUND,فانسي,duplicate,,
