اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عطر مصر ايجبت أو دو برفوم 100 مل ايجبت,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4b37bb89-a877-4d41-9b55-6bd56cfaa9b3-500x500-phioNLbkfcyjOg3hbVNhrdbTAtL7e0384WWtscCd.png",575,متجر ساراء ميكاب.csv,عطر ارماني سي أو دو توليت 100مل,62.9,GOLDEN-GRAY,,review,,
عطر ريما اكس اي كارنر برشلونة اودي برفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e3c1e282-7ac3-4992-bcdc-6f464ffd6c1b-500x500-bZRcvWyAKk9yTcpqbK5Bh6n07h5fOjeeJLF8a75P.png",529,متجر ساراء ميكاب.csv,عطر كارنر برشلونة ريما أكس أي أو دو برفيوم  100 مل,87.0,GOLDEN-GRAY,كارنر برشلونة,review,,
توم داكسون عطر سقلين وود خشب صقلية 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/99f7a93e-c5d0-4c91-bfb1-cf2b5ef8cf04-500x500-Zs2fAG59kVvPNVzHvRw4tkMt67PlwS5sc0DkZgnF.png",506,متجر ساراء ميكاب.csv,عطر توم داكسون فسوب أو دو برفيوم 100مل,68.4,GOLDEN-GRAY,توم داكسون,review,,
عطر بو بو من كارنر برشلونة للجنسين اودي برفيوم 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/208c80e5-48ef-45aa-bbfc-24ce464546cb-500x500-YRcKeEW4NXN9ZWImTsq9IQcnt2YJFC6UM3zLQQ2j.png",494,متجر ساراء ميكاب.csv,عطر كارنر برشلونة ميجاليوم أو دو برفيوم  50 مل,79.7,GOLDEN-GRAY,كارنر برشلونة,review,,
عطر توم داكسون سالفيا سكلاريا 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/db094cce-9f06-4f87-9aac-6ce440ef6591-500x500-nEYbvl4X9OcmQ037GyWZYP5NTG0VZ33r9PCAdVIR.png",371,متجر ساراء ميكاب.csv,عطر توم داكسون سالفيا سكلاريا أو دو برفيوم100مل,82.0,GOLDEN-GRAY,توم داكسون,review,,
عطر لاكونيا توم داكسون 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fd208233-9eb5-4c90-8155-1e79c58f00f6-500x500-gfeYEMuiz4xCR6nuyba0PUa11LG2wo17j4UF6dmH.png",370,متجر ساراء ميكاب.csv,عطر توم داكسون لاكونيا أو دو برفيوم 100مل,77.1,GOLDEN-GRAY,توم داكسون,review,,
عطر توم فورد تشيري سموك او دو بارفيوم 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/93c3c31f-3dc5-47ae-b451-cfe8fa5d581d-500x500-EjVxttLRLt5EeWFGwnElaQflWVsFPEcDMvETJH1h.png",770,متجر ساراء ميكاب.csv,عطر توم فورد توبيروز نوي أو دو بارفيوم 50مل,85.5,GOLDEN-GRAY,توم فورد,review,,
توم فورد - فانيل فاتال أو دو بارفان سبراي 30,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0e01ad36-0449-43f1-ad83-de07a7fd5875-500x500-RofuEPiWSx2jYyE4ALRs1dBPLZf0UYoU47TQIB6m.png",661,متجر ساراء ميكاب.csv,تستر توم فورد ياسمين روج أو دو برفيوم 50 مل,62.0,GOLDEN-GRAY,توم فورد,review,,
زيت جسم توم فورد سوليل بلانك 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ad44d6b0-4c03-431c-9737-4008a64e3a63-500x500-ikXI24cbvf5TKBkyFs3uT77EhMQmciKevy9VbSNX.png",535,متجر ساراء ميكاب.csv,عطر توم فورد نوار اكستريم برفيوم 100 مل,72.9,GOLDEN-GRAY,توم فورد,review,,
توم فورد Soleil Neige زيت لامع للجسم 101 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31536c18-9cb4-4a80-b181-235b9668d0c4-500x500-kH709zstS9hpMJh7xhiskr6RpTt6DtsBFCBDpf5l.png",488,متجر ساراء ميكاب.csv,عطر توم فورد نوار اكستريم برفيوم 100 مل,62.4,GOLDEN-GRAY,توم فورد,review,,
توم فورد ايبين فومي بخاخ للجسم 150 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c93bae36-00a0-41b6-86f4-74604b8e3a3e-500x500-lDb04DNOfCX3wCiRVwMzXTdWQCt8Ne36BGx0hIlG.png",346,متجر ساراء ميكاب.csv,معطر للجسم توم فورد الجسم بيتر بيتش 150مل,76.6,GOLDEN-GRAY,توم فورد,review,,
عطر توم داكسون كولونيا ابسلوت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4aabecf9-538e-4bb8-bee8-509483c458ab-500x500-gYmoPDHGdNgqtw8Uo0q5opK9jInDp72tfAXCXtv4.png",370,متجر ساراء ميكاب.csv,عطر توم داكسون فاشيتا أو دو برفيوم 100مل,71.5,GOLDEN-GRAY,توم داكسون,review,,
عطر أستروفيل اند ستيلا شنغهاي 1930 اكسترايت دي بارفيوم - 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/3fd2ae3c-3063-40a9-b69c-716f08a2ea0a-500x500-vOrEoP5V50g3O4ygtnzsQj1pLank772BvxXDzAxb.png",345,متجر ساراء ميكاب.csv,عطر أستروفيل أند ستيلا شانغهاي 1930 أو دو بارفيوم 50مل (للجنسين),78.8,GOLDEN-GRAY,أستروفيل أند ستيلا,review,,
روس أند روس عطر عود فيبراشين او دو برفيوم - 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c77fa899-f949-416b-b308-987b2f2834de-500x500-5R32WTKYyIVnd5ztLyEgmoVLPxqsnb6sBniwYAyK.png",791,متجر ساراء ميكاب.csv,عطر أتيليه دي أورس روج ساراي أو دو برفيوم 100 مل,63.8,GOLDEN-GRAY,,review,,
عطر روس أند روس بيربل ليذر أو دو برفيوم100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7d9b1280-3f49-4445-8987-f3ac93ea1efd-500x500-w9pgio7ym4fI3O2lX0qbS9V56SOaMu1DtqHjDwxu.png",770,متجر ساراء ميكاب.csv,عطر أتيليه دي أورس روج ساراي أو دو برفيوم 100 مل,60.3,GOLDEN-GRAY,,review,,
عطر دير روز لا فيفوريت أو دي بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/84cac898-4ae8-4e13-93f6-aeac30a5529b-500x500-eg9xEFXpb7WUfHGvzUL1qnS6ZZh86c6Ipdsd5gDE.png",742,متجر ساراء ميكاب.csv,عطر أي سي كيو من ال في بتهوفن أو دو بارفيوم 100 مل,63.3,GOLDEN-GRAY,,review,,
عطر مايسون فرانسيس كركدجيان جراند سوار او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5248cee7-eae5-41c7-8bab-a8197d60acad-500x500-F5zh8xH6WSuQalydPGTLlAYQzbfFuD0lY4ZLDAS2.png",1150,متجر ساراء ميكاب.csv,عطر ميزون فرانسيس كوركدجيان جينتل فلويديتي سيلفر أو دو بارفيوم 70 مل,71.6,GOLDEN-GRAY,فرانسيس كوركدجيان,review,,
طقم ارماني اكوا دي جيو بورفندو اودي بارفيوم رجالي 100مل + عطر بخ 15 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/eda9b773-95dc-430d-9d8a-aaf3379e8ddc-500x500-sxxIhliK2662FhDIImVREphluNL8fAd0wWgMT4eD.png",540,متجر ساراء ميكاب.csv,طقم ارماني سترونقر ويذ يو انتنسلي اودي بارفيوم رجالي 100 مل  + عطر بخ 15 مل + بودي شامبو 75 مل,61.2,GOLDEN-GRAY,,review,,
